src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.2.2.1,10.2.1.101,59398,53,17,2017-02-01 22:40:36,0.0001,2350000.0,30000.0,20000.0,10000.0,2,1,146,89,73,73,73.0,0.0,89,89,89.0,0.0,89,73,78.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,5e-05,0.0001,0.0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,78.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,89.0,0,2,1,146,89
80.87.196.67,10.2.1.101,49315,80,6,2017-02-01 22:40:36,1.160096,1313.6843847405733,11.205969161172868,6.033983394477699,5.17198576669517,7,6,1021,503,449,60,145.85714285714286,141.31669456672591,221,54,83.83333333333333,61.49909665099878,449,54,117.23076923076923,115.99546002133933,13454.94674556213,140,120,20,5,0.09667466666666667,0.269007,0.0,0.11922631395678648,0.891089,0.374698,0.0,0.14851483333333335,0.15260016455148037,0.907737,0.272354,3.3e-05,0.1815474,0.10620969438728273,2,1,0,0,2,3,0,3,11,0,0,0.8571428571428571,117.23076923076923,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.85714285714286,83.83333333333333,0,7,6,1021,503
10.2.2.1,10.2.1.101,64905,53,17,2017-02-01 22:40:39,0.100359,2401.379049213324,29.8926852599169,19.928456839944598,9.964228419972299,2,1,150,91,75,75,75.0,0.0,91,91,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0501795,0.100359,0.0,0.0501795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,91.0,0,2,1,150,91
37.143.15.137,10.2.1.101,49317,80,6,2017-02-01 22:40:39,7.636939,1121482.3111720546,1557.5612166078581,780.0245621969744,777.5366544108838,5957,5938,409179,8155513,1073,60,68.68876951485647,16.68414662119441,1375,54,1373.44442573257,41.37576444665716,1375,54,720.0245481294662,653.1383904738063,426589.7571107143,119140,118760,20,2609,0.0006420833193206658,0.273872,0.0,0.010769883632179301,7.368145,0.438959,0.0,0.0012370962055070517,0.015320361908092835,7.366846,0.274726,1.5e-05,0.0012408364493852115,0.01485407060747853,2,29,0,0,2,3,0,31,11893,0,0,0.9968104750713447,720.0245481294662,8192,14600,0,0,0,0,0,0,0,0,24.391304347826086,4.065217391304348,44341.40776699029,33.57281553398058,73434.12526997840172786177106,3624112.850495470617735372349,68.68876951485647,1373.44442573257,0,5957,5938,409179,8155513
37.143.15.137,10.2.1.101,49318,80,6,2017-02-01 22:40:52,0.906405,6126.400450129909,17.652153286886104,8.826076643443052,8.826076643443052,8,8,1110,4443,678,60,138.75,203.83311188322668,1375,54,555.375,634.9446703256907,1375,54,347.0625,515.5050277094783,265745.43359375,160,160,20,6,0.060426999999999995,0.278736,0.0,0.11005647704156263,0.628081,0.349468,0.0,0.08972585714285715,0.1425620866854945,0.630103,0.280055,2.2e-05,0.09001471428571428,0.12232515571297704,1,2,0,0,2,3,0,3,14,0,0,1.0,347.0625,8192,14600,0,0,0,0,0,0,0,0,24.0,4.0,3999.0,5.0,14778.32512315270935960591133,16944915.25423728813559322034,138.75,555.375,0,8,8,1110,4443
10.2.2.1,10.2.1.101,54256,53,17,2017-02-01 22:40:56,0.076206,4120.410466367478,39.36697897803323,26.24465265202215,13.122326326011075,2,1,156,158,78,78,78.0,0.0,158,158,158.0,0.0,158,78,104.66666666666667,37.71236166328253,1422.222222222222,40,20,20,2,0.038103,0.076206,0.0,0.038103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,104.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,158.0,0,2,1,156,158
216.146.38.70,10.2.1.101,49319,80,6,2017-02-01 22:40:56,0.39956,2805.586144759235,25.02753028331164,15.016518169986984,10.011012113324657,6,4,632,489,320,60,105.33333333333333,96.03934378969672,315,54,122.25,111.39204415037906,320,54,112.1,102.7914879744427,10566.09,120,80,20,4,0.04439555555555555,0.135361,0.0,0.06264825242771672,0.26419899999999996,0.132869,0.0,0.05283979999999999,0.06462099382522679,0.26863,0.135582,3.5e-05,0.08954333333333335,0.06330063845035232,1,1,0,0,2,3,0,2,8,0,0,0.6666666666666666,112.1,8192,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.33333333333333,122.25,0,6,4,632,489
37.143.15.137,10.2.1.101,49320,80,6,2017-02-01 22:40:56,0.852348,4072.2803362007066,15.251986277905269,8.212607995795144,7.039378282110124,7,6,1105,2366,733,60,157.85714285714286,234.81568977235165,1375,54,394.3333333333333,507.5866647403399,1375,54,267.0,403.1130782375509,162500.15384615384,140,120,20,5,0.07102900000000001,0.278579,0.0,0.11669867615644433,0.577412,0.312544,0.0,0.09623533333333333,0.13654263202710312,0.588467,0.27899,3.7e-05,0.11769340000000002,0.1309096669212782,1,2,0,0,2,3,0,3,11,0,0,0.8571428571428571,267.0,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.85714285714286,394.3333333333333,0,7,6,1105,2366
37.143.15.137,10.2.1.101,49321,80,6,2017-02-01 22:40:57,0.834078,3768.232707252799,15.586072285805404,8.392500461587526,7.193571824217879,7,6,1829,1314,1165,60,261.2857142857143,382.23953383250375,1032,54,219.0,363.61105593752234,1165,54,241.76923076923077,374.3511625458218,140138.7928994083,140,120,20,5,0.06950650000000001,0.275791,0.0,0.11524446354561535,0.5662699999999999,0.289743,0.0,0.09437833333333333,0.13333422307453133,0.558287,0.268377,3.5e-05,0.11165739999999999,0.12606415552186115,2,1,0,0,2,3,0,3,11,0,0,0.8571428571428571,241.76923076923077,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2857142857143,219.0,0,7,6,1829,1314
37.143.15.137,10.2.1.101,49322,80,6,2017-02-01 22:40:57,0.849511,3380.7684656231645,15.302921327681455,8.240034561059245,7.06288676662221,7,6,1037,1835,665,60,148.14285714285714,211.02229304806946,1375,54,305.8333333333333,482.41559422924496,1375,54,220.92307692307693,370.90315168382443,137569.1479289941,140,120,20,5,0.07079258333333334,0.283464,0.0,0.11807725722837735,0.5825670000000001,0.298192,0.0,0.09709449999999999,0.13712384035699265,0.566047,0.274767,2.2e-05,0.11320939999999999,0.1293362746078609,1,1,0,0,2,3,0,2,11,0,0,0.8571428571428571,220.92307692307693,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.14285714285714,305.8333333333333,0,7,6,1037,1835
